VM ID,Actual CPU,Length,Input Size,Output Size,End Time
20,0.99,939,271,614,13.85
24,0.22,173,576,359,13.85
5,0.77,746,60,231,13.96
6,0.22,187,621,240,13.96
9,0.44,337,525,14,13.96
10,0.11,103,653,527,13.96
18,0.33,269,611,598,13.96
24,0.11,100,707,428,13.96
9,0.11,24,258,191,14.07
11,0.88,866,733,230,14.07
23,0.99,983,318,403,14.07
1,0.66,577,316,5,14.18
8,0.77,691,252,398,14.18
19,0.33,264,323,473,14.18
20,0.33,314,512,746,14.18
21,0.77,667,145,274,14.18
22,0.66,646,683,654,14.18
8,0.11,3,20,299,14.29
11,0.22,112,256,370,14.29
15,0.99,956,563,457,14.29
16,0.44,375,178,668,14.29
23,0.22,157,58,333,14.29
24,0.33,260,548,162,14.29
2,0.66,658,644,352,14.4
10,0.44,380,679,681,14.4
13,0.55,448,247,503,14.4
20,0.22,192,187,737,14.4
3,0.88,879,722,282,14.51
4,0.88,825,449,384,14.51
6,0.55,456,733,477,14.51
12,0.99,950,513,543,14.51
16,0.22,112,522,538,14.51
0,0.77,707,334,258,14.62
17,0.77,708,595,565,14.62
5,0.77,763,675,53,14.73
6,0.22,122,56,70,14.73
7,0.99,893,248,152,14.73
10,0.33,265,115,529,14.73
15,0.44,332,514,154,14.73
23,0.44,400,698,216,14.73
2,0.44,390,621,303,14.84
4,0.33,327,493,733,14.84
5,0.11,33,508,345,14.84
14,0.99,913,532,520,14.84
16,0.33,315,266,578,14.84
18,0.88,859,732,275,14.84
20,0.44,357,646,154,14.84
23,0.11,59,256,341,14.84
0,0.33,249,204,591,14.95
1,0.77,699,159,88,14.95
9,0.88,793,307,300,14.95
12,0.44,411,229,721,14.95
13,0.55,516,703,390,14.95
15,0.22,143,131,725,14.95
19,0.77,679,402,266,14.95
22,0.77,706,626,320,14.95
3,0.55,465,614,607,15.06
7,0.33,225,182,28,15.06
12,0.11,102,198,284,15.06
17,0.44,382,155,708,15.06
21,0.88,853,184,340,15.06
24,0.77,694,382,624,15.06
8,0.88,864,260,570,15.17
16,0.33,314,98,332,15.17
24,0.11,97,46,587,15.17
0,0.33,315,679,468,15.28
5,0.44,396,427,673,15.28
6,0.55,526,316,711,15.28
9,0.33,253,60,387,15.28
11,0.99,955,380,156,15.28
14,0.44,419,133,523,15.28
17,0.22,119,688,615,15.28
19,0.33,322,383,442,15.28
3,0.33,221,362,98,15.39
6,0.11,25,533,136,15.39
8,0.22,215,350,155,15.39
14,0.11,11,474,470,15.39
1,0.55,469,423,17,15.5
7,0.44,432,575,2,15.5
10,0.77,666,528,125,15.5
16,0.33,239,332,664,15.5
3,0.22,126,244,289,15.61
6,0.22,208,725,287,15.61
17,0.33,258,678,707,15.61
22,0.66,563,520,145,15.61
0,0.44,403,669,725,15.72
2,0.88,828,426,464,15.72
4,0.88,837,517,570,15.72
6,0.11,6,333,97,15.72
11,0.44,359,649,358,15.72
4,0.11,104,11,713,15.83
5,0.55,550,143,100,15.83
9,0.55,454,181,400,15.83
12,0.77,668,398,412,15.83
14,0.44,360,627,323,15.83
15,0.88,813,274,218,15.83
17,0.22,190,417,559,15.83
18,0.99,931,326,266,15.83
20,0.99,957,434,169,15.83
23,0.99,904,315,432,15.83
24,0.66,553,256,57,15.83
6,0.22,199,463,414,15.94
8,0.55,483,207,439,15.94
9,0.11,93,613,389,15.94
11,0.22,156,738,343,15.94
13,0.99,903,39,35,15.94
14,0.11,84,536,166,15.94
16,0.44,371,427,396,15.94
17,0.11,25,177,345,15.94
21,0.88,786,615,228,15.94
24,0.11,22,242,70,15.94
8,0.11,55,618,123,16.05
